matchid,totalGoldA,totalGoldB,destroyedTowersA,destroyedTowersB,destroyedInhibitorsA,destroyedInhibitorsB,dragonsA,dragonsB,baronsA,baronsB,winTeam
BR1_3029779417,53457,41653,11,0,3,0,2,1,1,0,0
BR1_3029696798,57484,48103,8,3,1,0,1,2,1,0,0
BR1_3029567543,57934,63984,3,8,0,1,0,4,0,0,1
BR1_3029546242,59714,68525,3,9,0,1,1,3,0,1,1
BR1_3029350175,68049,58095,11,3,3,0,2,2,1,0,0
BR1_3029318619,73171,63553,10,6,2,0,2,2,2,0,0
BR1_3028841496,67499,53963,9,5,1,0,1,1,1,0,0
BR1_3028816326,74743,72927,11,5,3,0,2,2,1,1,0
BR1_3028088453,73474,69714,8,8,1,1,2,1,0,1,0
BR1_3027994166,64791,65708,9,5,2,0,2,1,1,0,0
BR1_3027971439,38466,51079,3,9,0,2,0,3,0,1,1
BR1_3027525116,27964,42734,1,10,0,2,0,0,0,0,1
BR1_3026181131,57701,47564,10,2,2,0,3,0,1,0,0
BR1_3026143648,46495,61171,1,11,0,3,2,2,0,1,1
BR1_3025246532,58988,46473,10,0,3,0,4,0,1,0,0
BR1_3025222842,54938,42483,10,2,2,0,2,0,1,0,0
BR1_3025208911,54017,64810,4,10,0,2,0,4,0,1,1
BR1_3025201402,43799,29604,9,0,1,0,0,0,0,0,0
BR1_3024962521,53478,56876,5,7,0,1,1,2,1,0,1
BR1_3024866618,41383,51970,2,8,0,1,0,2,0,0,1
BR1_3024545605,56057,46639,8,2,1,0,2,2,1,0,0
BR1_3024448062,72396,71137,7,8,2,1,4,1,1,1,0
BR1_3024398879,68266,58417,11,1,1,0,2,2,1,0,0
BR1_3030423151,46004,57855,3,11,0,3,1,1,0,1,1
BR1_3030098770,68639,77822,6,11,0,1,2,2,0,2,1
BR1_3030072982,56298,48300,8,4,1,0,1,1,1,0,0
BR1_3029745275,79013,83655,4,11,0,4,1,4,1,2,1
BR1_3029393496,55210,63993,4,9,0,1,1,2,0,1,1
BR1_3029350175,68049,58095,11,3,3,0,2,2,1,0,0
BR1_3029244970,55588,67085,4,11,0,2,1,3,0,1,1
BR1_3029206012,41682,49266,3,9,0,1,0,2,0,1,1
BR1_3028711352,56792,46867,10,4,1,0,2,1,1,0,0
BR1_3028616419,55187,63927,3,8,0,1,2,1,0,1,1
BR1_3028576307,85998,84403,8,7,1,1,2,3,1,1,0
BR1_3028553164,44084,53832,3,9,0,1,1,1,0,1,1
BR1_3028494113,65485,52312,9,3,1,0,2,1,1,0,0
BR1_3028439794,65255,72031,5,9,0,1,1,2,0,1,1
BR1_3028366494,61786,62501,4,8,0,2,1,2,1,1,1
BR1_3028088453,73474,69714,8,8,1,1,2,1,0,1,0
BR1_3028039413,59751,56458,11,3,4,0,1,2,0,1,0
BR1_3028006921,52288,48573,8,4,1,0,0,3,1,0,0
BR1_3027941566,52808,62390,4,10,1,2,1,2,0,1,1
BR1_3027905826,69707,57570,10,3,2,0,3,1,1,0,0
BR1_3027716713,72298,68429,10,5,1,0,1,3,1,1,0
BR1_3027615742,55330,56759,6,10,0,1,1,3,0,1,1
BR1_3027600401,49125,40175,10,3,1,0,2,0,0,0,0
BR1_3030562731,68128,69565,10,7,2,1,0,4,1,1,1
BR1_3030527726,65917,59798,8,6,1,0,1,3,1,0,0
BR1_3028363495,61006,56256,11,4,3,1,1,3,0,1,0
BR1_3028342537,40532,55208,0,11,0,3,0,1,0,0,1
BR1_3027095424,65144,72398,4,10,0,3,2,2,1,1,1
BR1_3026623882,46383,34412,9,0,1,0,0,1,0,0,0
BR1_3026611909,55978,63503,4,9,0,2,2,2,0,1,1
BR1_3026599483,65867,50646,11,0,3,0,3,1,2,0,0
BR1_3026539157,67737,71532,6,10,0,2,1,4,0,2,1
BR1_3025132071,63431,49199,10,2,2,0,2,1,1,0,0
BR1_3025129500,44678,57336,1,9,0,1,0,2,0,1,1
BR1_3025125987,76789,72868,9,5,1,0,1,4,2,0,0
BR1_3025092120,67016,64036,10,6,2,1,0,2,0,1,0
